lat	DMS	MeSH	MeSH_DMS	Acetonitrile	Acetaldehyde	Acetone	Chlorophyll	CO	Isoprene
58.2511	7.9972	NA		1.7278	14.4868	17.1097	0.148960562	19.31585171	3.5696
58.2566	7.3567	NA		1.2509	14.5352	15.7263	0.147477066	16.40718757	4.4479
58.2620	6.6289	NA		1.1477	12.0436	14.994	0.163742165	15.65554497	3.1362
58.2675	7.0407	NA		1.4524	13.4889	14.8278	0.176933896	16.11175128	3.163
58.2730	6.7084	NA		1.0693	11.7475	13.5869	0.16911509	15.8174649	3.3343
58.2785	7.1064	NA		1.4127	11.0717	13.532	0.165203782	14.7745908	3.0418
58.2840	7.3966	NA		1.2738	13.6998	14.6226	0.174024936	14.2306615	3.2378
58.2894	6.6534	NA		1.2548	11.4567	12.4743	0.181695359	13.03692979	2.9784
58.2950	7.5678	NA		1.3968	13.1309	15.221	0.170359518	13.86039856	2.993
58.3006	8.2421	NA		1.4417	17.2917	14.7855	0.166243474	13.48290568	22.8004
58.3062	7.6926	NA		1.7831	19.1917	12.6811	0.168421013	14.19452861	20.4342
58.3119	8.65	NA		1.4404	19.4195	15.6133	0.143486174	16.13064687	13.9486
58.3176	7.3189	NA		1.0882	13.3326	10.8119	0.138440308	14.61046831	8.2234
58.3233	8.8152	NA		1.5515	16.2604	16.2284	0.181384445	14.35951448	6.4027
58.3289	8.5206	NA		1.3868	14.2578	14.9927	0.188236925	14.21463007	4.431
58.3345	8.4579	NA		1.3075	14.0349	14.7053	0.197038505	16.76298189	3.7977
58.3400	8.2334	NA		1.3057	11.768	13.6036	0.192188381	18.61503046	3.0317
58.3456	9.1904	NA		1.4817	13.6976	15.2208	0.194648115	18.22152174	3.4804
58.3511	7.8233	NA		1.3721	11.837	11.4641	0.236283705	17.77172261	2.6266
58.3566	10.2283	NA		1.7595	17.0294	19.3764	0.317381041	16.68625303	4.6718
58.3621	9.7892	NA		1.2062	12.2828	14.287	0.339338858	14.4268104	3.3777
58.3676	10.1464	NA		1.2886	13.2995	16.2974	0.314274385	12.21220144	3.6584
58.3731	10.5608	NA		0.788	11.4466	13.4356	0.30157371	14.60267993	3.3971
58.3786	12.2234	NA		1.128	12.8639	15.704	0.23217766	16.69424667	3.9111
