lat	lon	DMS [nmol/L]	MeSH [nmol/L]	sum	DMS_MeSH	MeSH_DMS	DMS_frac	MeSH_frac
66.4161311	3.7330968	15.4404	1.4794	16.9198	10.437	0.096	91.3	8.7
66.4229673	3.7333737	17.0813	1.5765	18.6578	10.835	0.092	91.6	8.4
66.4299351	3.7339977	17.4266	1.3142	18.7408	13.260	0.075	93.0	7.0
66.4368687	3.7349684	14.5414	1.5816	16.123	9.194	0.109	90.2	9.8
66.4439009	3.7360588	16.1937	1.3255	17.5192	12.217	0.082	92.4	7.6
66.4510149	3.7364613	13.5801	1.4585	15.0386	9.311	0.107	90.3	9.7
66.4580414	3.7373022	13.8438	1.5046	15.3484	9.201	0.109	90.2	9.8
66.4650828	3.7381144	15.129	1.2477	16.3767	12.126	0.082	92.4	7.6
66.4721754	3.7388172	13.7625	1.4477	15.2102	9.506	0.105	90.5	9.5
66.4791768	3.7393168	16.6937	1.5059	18.1996	11.086	0.090	91.7	8.3
66.4861221	3.739475	18.6825	1.5109	20.1934	12.365	0.081	92.5	7.5
66.4929367	3.7406021	19.6742	1.4692	21.1434	13.391	0.075	93.1	6.9
66.4997452	3.741414	19.7224	1.3544	21.0768	14.562	0.069	93.6	6.4
66.5065973	3.7424372	18.3686	1.3545	19.7231	13.561	0.074	93.1	6.9
66.5133716	3.742489	17.2381	1.5747	18.8128	10.947	0.091	91.6	8.4
66.5200686	3.7428392	20.7614	1.4883	22.2497	13.950	0.072	93.3	6.7
66.5267325	3.7441717	19.4938	1.6026	21.0964	12.164	0.082	92.4	7.6
66.5333579	3.7451069	20.9283	1.6548	22.5831	12.647	0.079	92.7	7.3
66.5399355	3.7458178	21.1809	1.8938	23.0747	11.184	0.089	91.8	8.2
66.5465964	3.7457479	23.4892	1.7759	25.2651	13.227	0.076	93.0	7.0
66.5533582	3.7463304	22.945	1.6521	24.5971	13.888	0.072	93.3	6.7
66.5600697	3.7473398	21.9922	1.7389	23.7311	12.647	0.079	92.7	7.3
66.5667686	3.7482912	23.3165	1.8063	25.1228	12.908	0.077	92.8	7.2
66.5734552	3.7487937	24.7083	1.7669	26.4752	13.984	0.072	93.3	6.7
66.5801075	3.7493413	24.2753	1.7456	26.0209	13.907	0.072	93.3	6.7
66.5866529	3.7498262	22.988	1.7407	24.7287	13.206	0.076	93.0	7.0
66.5932825	3.7506872	22.0939	1.8111	23.905	12.199	0.082	92.4	7.6
66.6000403	3.7516181	23.8547	1.7332	25.5879	13.763	0.073	93.2	6.8
66.6067037	3.7522374	22.4562	1.6432	24.0994	13.666	0.073	93.2	6.8
66.6132734	3.7525457	21.9293	1.7408	23.6701	12.597	0.079	92.6	7.4
66.619895	3.7530594	23.4025	1.8195	25.222	12.862	0.078	92.8	7.2
66.6263733	3.7541966	23.4271	1.7577	25.1848	13.328	0.075	93.0	7.0
66.6328782	3.7549532	22.4473	1.7675	24.2148	12.700	0.079	92.7	7.3
66.6394712	3.7551453	21.6805	1.7687	23.4492	12.258	0.082	92.5	7.5
66.6460441	3.7558706	20.7996	1.8065	22.6061	11.514	0.087	92.0	8.0
66.6525998	3.7563872	20.6872	1.8771	22.5643	11.021	0.091	91.7	8.3
66.65909	3.7571941	19.2603	1.9685	21.2288	9.784	0.102	90.7	9.3
66.6656399	3.7580359	19.553	1.9408	21.4938	10.075	0.099	91.0	9.0
66.6722268	3.7585285	18.6334	1.8924	20.5258	9.846	0.102	90.8	9.2
66.678746	3.7596369	17.9932	1.843	19.8362	9.763	0.102	90.7	9.3
66.6852219	3.760387	17.3038	2.0041	19.3079	8.634	0.116	89.6	10.4
66.6917245	3.7605463	18.8885	2.0563	20.9448	9.186	0.109	90.2	9.8
66.6982027	3.760915	19.4856	1.9102	21.3958	10.201	0.098	91.1	8.9
66.7047684	3.7616755	18.1268	2.0198	20.1466	8.975	0.111	90.0	10.0
66.7113143	3.7628602	18.7377	1.8648	20.6025	10.048	0.100	90.9	9.1
66.7177385	3.7634056	17.3549	1.9477	19.3026	8.910	0.112	89.9	10.1
66.7242052	3.7638017	16.8338	1.8636	18.6974	9.033	0.111	90.0	10.0
66.7306225	3.7647735	16.9512	1.8468	18.798	9.179	0.109	90.2	9.8
66.737142	3.7653092	17.254	2.0145	19.2685	8.565	0.117	89.5	10.5
66.7437071	3.7656345	17.9987	2.0781	20.0768	8.661	0.115	89.6	10.4
66.7502837	3.7662671	18.3804	1.9756	20.356	9.304	0.107	90.3	9.7
66.7568547	3.7673248	17.1202	1.9781	19.0983	8.655	0.116	89.6	10.4
66.7634151	3.7681127	16.2615	2.0802	18.3417	7.817	0.128	88.7	11.3
66.7699481	3.76843	17.2384	1.9603	19.1987	8.794	0.114	89.8	10.2
66.7764618	3.7691444	17.0342	2.0065	19.0407	8.490	0.118	89.5	10.5
66.7830576	3.7698263	17.0042	1.8952	18.8994	8.972	0.111	90.0	10.0
66.7895972	3.7709536	16.5173	2.0879	18.6052	7.911	0.126	88.8	11.2
66.796151	3.7713506	18.3322	2.1489	20.4811	8.531	0.117	89.5	10.5
66.8028016	3.7718273	18.5175	2.0683	20.5858	8.953	0.112	90.0	10.0
66.80944	3.7728191	17.5625	2.1063	19.6688	8.338	0.120	89.3	10.7
66.8161257	3.7731578	17.5213	2.1443	19.6656	8.171	0.122	89.1	10.9
66.8228431	3.7736052	16.7523	2.2366	18.9889	7.490	0.134	88.2	11.8
66.8295912	3.7745785	17.9366	1.9712	19.9078	9.099	0.110	90.1	9.9
66.8363406	3.7755568	15.4223	2.1112	17.5335	7.305	0.137	88.0	12.0
66.843072	3.7757733	16.8461	1.9792	18.8253	8.512	0.117	89.5	10.5
66.8498671	3.7766924	17.7119	2.0484	19.7603	8.647	0.116	89.6	10.4
66.8566269	3.7775732	19.3351	2.02	21.3551	9.572	0.104	90.5	9.5
66.8633148	3.7780726	19.6211	2.14	21.7611	9.169	0.109	90.2	9.8
66.8700239	3.778413	19.8412	2.0808	21.922	9.535	0.105	90.5	9.5
66.8768126	3.7792756	20.7309	1.9618	22.6927	10.567	0.095	91.4	8.6
66.8836072	3.7804861	19.8848	2.0848	21.9696	9.538	0.105	90.5	9.5
66.8903883	3.781298	21.7034	2.304	24.0074	9.420	0.106	90.4	9.6
66.8971984	3.7818693	23.6922	2.3234	26.0156	10.197	0.098	91.1	8.9
66.9039691	3.7818972	25.1693	2.0389	27.2082	12.345	0.081	92.5	7.5
66.91078	3.7827166	22.9831	2.287	25.2701	10.049	0.100	90.9	9.1
66.917474	3.7834622	26.8784	2.0806	28.959	12.919	0.077	92.8	7.2
